Location,"Population, total",Population density (people per sq. km of land area),GDP_per_capita_USD,Current_health_expenditure_per_capita_USD,"Population, female (% of total population)","Literacy rate, adult total (% of people ages 15 and above)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Urban population%,Rural population (% of total population)
Mauritius,1265303,623.3019704,11238.69039,599.6997681,50.5771064,91.32539,10.2,8.5,40.793,59.207
Mexico,126000000,64.91462641,9673.443674,494.6776428,51.08928083,95.37991,17.602,6.01,80.156,19.844
"Micronesia, Fed. Sts.",112640,160.9142857,3568.290829,424.8097839,49.15482955,,22.82,6.564,22.703,77.297
Moldova,2706049,123.5198035,3227.312192,191.1857758,52.03556312,,10.1,11.61,42.629,57.371
Monaco,38682,,185741.28,2932.421875,,,5.9,6.6,100,0
Mongolia,3170208,2.040608667,4121.732435,148.7844543,50.66954471,98.42312,24.131,6.316,68.445,31.555
Montenegro,622227,46.27100372,8844.236985,,50.55901294,98.84718,11.732,10.682,66.813,33.187
Morocco,36029138,80.72851893,3222.200634,161.0108643,50.40384729,73.75001,18.937,5.06,62.453,37.547
Mozambique,29495962,37.50853531,498.9572202,21.07115555,51.4751911,,37.52,8.544,35.988,64.012
Burma,53708395,82.23861548,1325.952924,58.04395676,51.80789687,,17.552,8.199,30.579,69.421
Namibia,2448255,2.973745582,5931.453886,447.2806396,51.55369032,91.52727,28.639,8.057,50.032,49.968
Nauru,12704,635.2,9888.893597,1106.750977,,,,,100,0
Nepal,28087871,195.9391071,1033.912431,47.91536331,54.53534333,67.90843,19.887,6.361,19.74,80.26
Netherlands,17231624,511.4579104,53024.05921,4911.44043,50.22094356,,9.7,8.9,91.49,8.51
New Caledonia,284060,15.53938731,,,49.66105448,,14.5,5.5,70.683,29.317
New Zealand,4841000,18.55417569,41945.33167,3937.221924,50.8377694,,11.98,6.86,86.538,13.462
Nicaragua,6465513,53.72704836,2028.894755,192.0833893,50.71270568,,20.641,5.061,58.522,41.478
Niger,22442948,17.71765059,413.980305,29.26165009,49.7710026,,46.079,8.268,16.425,83.575
Nigeria,196000000,215.064989,2028.18197,73.92498016,49.33611355,62.01601,37.905,11.86,50.344,49.656
North Macedonia,2082958,82.59151467,6083.718948,328.4197998,49.96646594,,10.811,10.051,57.963,42.037
Northern Mariana Islands,56882,123.6565217,23258.67586,,,,,,91.618,8.382
Norway,5311916,14.55491954,81697.24598,7936.375,49.52463113,,10.4,7.7,82.248,17.752
Oman,4829483,15.6041454,16415.15728,587.6463013,34.01408352,95.65153,19.189,2.436,84.539,15.461
Pakistan,212000000,275.2893187,1482.403063,44.59296417,48.53807472,,28.25,6.942,36.666,63.334
Palau,17907,38.92826087,15859.43486,1596.362915,,,14,7.8,79.93,20.07
Panama,4176873,56.18607748,15575.07255,1112.303223,49.90538365,95.41181,18.976,5.076,67.709,32.291
Papua New Guinea,8606316,19.00436338,2730.274799,61.45783997,48.96272787,,27.073,7.427,13.169,86.831
Paraguay,6956071,17.50835892,5821.814323,381.1130676,49.15161135,94.0208,20.571,5.498,61.585,38.415
Peru,31989256,24.99160625,6941.235848,332.5709229,50.33775549,94.40827,17.949,5.503,77.907,22.093
Philippines,107000000,357.6883053,3102.713363,132.9009857,49.74165739,,20.546,5.873,46.907,53.093
Poland,37974750,124.0358862,15420.91116,906.8201294,51.53070738,,10.2,10.9,60.058,39.942
Portugal,10283822,112.2394535,23407.90659,1908.033936,52.71196171,96.13759,8.5,11,65.211,34.789
Puerto Rico,3195153,360.2201804,31651.34815,,52.45009373,,6.7,9.2,93.578,6.422
Qatar,2781677,239.5931955,68793.78444,1649.186157,24.49528738,,9.541,1.202,99.135,0.865
Romania,19466145,84.63984701,12301.1864,555.1047363,51.34374306,98.8445,9.6,13.5,53.998,46.002
Russia,144000000,8.822079555,11288.87845,585.87323,53.66176236,99.73006,11.5,12.4,74.433,25.567
Rwanda,12301939,498.6598703,772.9444599,49.20445633,50.86106135,73.21559,31.696,5.208,17.211,82.789
Samoa,196130,69.30388693,4183.407935,233.0650635,48.25624082,99.09577,24.378,5.239,18.243,81.757
San Marino,33785,563.0833333,,3361.644775,,99.91643,6.8,7.1,97.226,2.774
Sao Tome and Principe,211028,219.8208333,2001.140902,119.6956558,49.96351264,92.81664,31.538,4.828,72.803,27.197
Saudi Arabia,33699947,15.67665431,23338.96346,1093.405518,42.44584798,,17.798,3.472,83.844,16.156
Senegal,15854360,82.34747832,1521.953554,55.01403809,51.27732977,,34.523,5.716,47.192,52.808
Serbia,6982604,79.83174022,7246.731656,528.545166,51.00252296,,9.2,14.6,56.092,43.908
Seychelles,96762,210.3521739,16433.93529,791.6566772,48.65491174,95.86771,17.1,8.5,56.691,43.309
Sierra Leone,7650154,105.987171,533.9911843,66.40218353,50.12127215,43.20633,33.406,11.745,42.055,57.945
Singapore,5638676,7952.998418,64581.94402,2618.712402,47.65812541,97.34486,8.8,5,100,0
Sint Maarten (Dutch part),40654,,,,,,,,100,0
Slovakia,5446771,113.2905782,19442.70576,1186.136353,51.33833252,,10.6,10,53.726,46.274
Slovenia,2073894,102.6398595,26123.97387,1920.28186,50.24520703,,9.4,9.9,54.541,45.459
Solomon Islands,652858,23.32468739,2137.690695,101.2398682,49.15463747,,32.439,4.252,23.749,76.251
Somalia,15008154,23.9234769,314.5441657,,50.13335021,,41.753,10.855,44.971,55.029
South Africa,57779622,47.63011978,6374.028196,499.2375488,50.69415038,,20.51,9.435,66.355,33.645
South Sudan,10975920,,,22.88857269,49.95630436,34.52276,35.01,10.459,19.615,80.385
Spain,46796540,93.52905826,30370.89233,2506.464844,50.89664131,98.4365,7.9,9.1,80.321,19.679
Sri Lanka,21670000,345.558922,4102.48135,159.4847412,51.96681766,91.70982,15.831,6.651,18.476,81.524
St. Kitts and Nevis,52441,201.6961538,19275.41851,902.6589966,,,,,30.776,69.224
St. Lucia,181889,298.1786885,10566.04975,460.0688171,50.75045357,,12,7.205,18.678,81.322
St. Martin (French part),37264,,,,,,14.7,4.4,,
St. Vincent and the Grenadines,110210,282.5897436,7361.400962,320.5932922,49.20878323,,14.24,9.263,52.198,47.802
Sudan,41801533,,977.2736357,193.793045,50.04741453,60.69718,32.177,7.188,34.642,65.358
Suriname,575991,3.69225,6234.044922,339.3279724,49.71709431,94.38327,18.542,7.335,66.06,33.94
Sweden,10175214,25.00104343,54608.36025,5904.583984,49.94577617,,11.4,9.1,87.431,12.569
Switzerland,8513227,215.5213784,82796.54716,9956.259766,50.42712466,,10,7.8,73.797,26.203
Syria,16906283,92.06710777,,,49.81421136,,23.685,5.373,54.162,45.838
Tajikistan,9100837,65.57271417,826.6215305,57.89985275,49.58383544,,30.761,4.856,27.134,72.866
Tanzania,56318348,63.5790788,1060.994615,33.91657639,50.05101091,,36.7,6.419,33.776,66.224
Thailand,69428524,135.8972068,7273.563207,247.0351105,51.26870461,93.76776,10.344,7.666,49.949,50.051
Timor-Leste,1267972,85.27047747,2035.533908,83.19770813,49.45846724,68.06683,29.424,5.995,30.578,69.422
Togo,7889094,145.0467733,679.2570836,38.04871368,50.26804722,,33.113,8.446,41.702,58.298
Tonga,103197,143.3291667,4364.015561,222.0154877,49.98691848,99.41437,24.303,7.152,23.131,76.869
Trinidad and Tobago,1389858,270.9274854,17129.91309,1124.091675,50.59132663,,12.937,8.375,53.184,46.816
Tunisia,11565204,74.44132338,3447.50791,250.5622253,50.43715186,,17.564,6.262,68.945,31.055
Turkey,82319724,106.9601289,9370.176344,444.6536865,50.6778132,,16.027,5.412,75.143,24.857
Turkmenistan,5850908,12.45059477,6966.635411,456.482666,50.7607374,,23.831,7.045,51.593,48.407
Turks and Caicos Islands,37665,39.64736842,27142.2278,,,,,,93.098,6.902
Tuvalu,11508,383.6,3700.710677,622.1766968,,,,,62.387,37.613
Uganda,42723139,213.0617345,642.7767443,38.42644119,50.7760789,76.5275,38.135,6.554,23.774,76.226
Ukraine,44622516,77.02966735,3095.173581,177.4088898,53.6877507,,8.7,14.8,69.352,30.648
United Arab Emirates,9630959,135.6091101,43004.95336,1357.017456,30.63668795,,10.331,1.47,86.522,13.478
United Kingdom,66460344,274.8273922,42943.90227,3858.674316,50.63527456,,11,9.3,83.398,16.602
US,327000000,35.76608858,62794.58565,10246.13867,50.52001465,,11.6,8.6,82.256,17.744
Uruguay,3449299,19.70802765,17277.97011,1591.533203,51.72154269,98.70386,13.857,9.467,95.334,4.666
Uzbekistan,32955400,77.46920545,1532.371677,98.82457733,50.13735892,99.99289,23.3,4.7,50.478,49.522
Vanuatu,292680,24.00984413,3123.893396,105.6665268,49.28880157,87.50631,29.595,5.266,25.274,74.726
Venezuela,28870195,32.73079191,,94.22937775,50.6332598,,17.881,6.982,88.208,11.792
Vietnam,95540395,308.1252459,2566.59695,129.5759583,50.09640962,95.00038,16.745,6.317,35.919,64.081
Virgin Islands (U.S.),106977,305.6485714,,,52.43713696,,12.5,8.1,95.721,4.279
West Bank and Gaza,4569087,758.9845515,3198.866644,,49.27764427,97.21861,29.282,3.461,76.164,23.836
Yemen,28498687,53.97785291,944.4084994,,49.61165749,,30.453,5.983,36.642,63.358
Zambia,17351822,23.3414789,1539.900158,67.64866638,50.49320776,86.74796,36.192,6.456,43.521,56.479
Zimbabwe,14439018,37.32459093,2146.996385,110.1496201,52.35675207,,30.676,7.883,32.209,67.791
Taiwan*,,,"25,525.81","3,047",,,,,78.9,21.1
